Country,Year,TotalImprovedwater,TotalImprovedSanitation
Bangladesh,1994,98.6,73.46
Bangladesh,1996,99.36,78.15
Bangladesh,1999,99.18,65.13
Bangladesh,2004,99.72,49.82
Bangladesh,2006,99.18,58.65
Bangladesh,2007,99.59,60.74
Bangladesh,2011,99.51,73.77
Bangladesh,2013,99.16,86.36
Bangladesh,2014,99.63,84.33
Bangladesh,2017,99.31,74.43
Bangladesh,2019,99.61,90.59
Ghana,1993,83.64,43.01
Ghana,1999,90.39,55.28
Ghana,2003,87.01,61.6
Ghana,2006,93.05,82.58
Ghana,2008,96.56,86.75
Ghana,2011,96.25,79.77
Ghana,2014,96.47,86.15
Ghana,2016,96.05,88.88
Ghana,2018,95.84,80.72
Ghana,2019,98.38,87.21
Ghana,2022,97.54,76.35
Kenya,1993,88.69769393,56.8928034
Kenya,1998,86.40859581,55.81701524
Kenya,2000,96.17751431,53.11568608
Kenya,2003,77.86623933,50.40493825
Kenya,2008,92.88389666,82.68292779
Kenya,2014,88.63647608,75.04855238
Kenya,2015,91.4950402,76.61517818
Kenya,2020,89.19160104,80.18294246
Kenya,2022,89.19160104,80.18294246
Nigeria,2003,74.21,33.02
Nigeria,2007,83.43,70.43
Nigeria,2008,83.75,76.61
Nigeria,2010,81.61,61.3
Nigeria,2011,93.21,78.52
Nigeria,2013,89.79,76.88
Nigeria,2015,92.59,75.85
Nigeria,2017,91.44,79.13
Nigeria,2018,90.94,73.74
Nigeria,2021,94.84,84.79
Senegal,1992,91.63,36.95
Senegal,1997,90.34,33.44
Senegal,2000,91.33,50.88
Senegal,2005,90.92,73.71
Senegal,2006,92.62,96.36
Senegal,2008,93.43,90.26
Senegal,2011,94.08,80.19
Senegal,2012,92.55,88.89
Senegal,2014,91.8,85.33
Senegal,2015,89.61,86.49
Senegal,2016,93.62,89.58
Senegal,2017,94.87,92.53
Senegal,2019,90.22,89.66
Senegal,2019,95.23,94.44
Senegal,2021,97.17,93.18
United Republic of Tanzania,1992,76.50712816,6.765225444
United Republic of Tanzania,1996,77.63664091,7.917298714
United Republic of Tanzania,1999,94.15584311,9.170880316
United Republic of Tanzania,2004,54.33078648,22.29833494
United Republic of Tanzania,2010,81.76052666,46.76843724
United Republic of Tanzania,2016,92.24865964,74.8904991
United Republic of Tanzania,2017,90.08749095,76.9582886
United Republic of Tanzania,2022,95.88754358,85.23849744
